list,word,cefr,status,unit
ACL,associated factors,,pendiente,
ACL,assume responsibility,,pendiente,
ACL,atomic energy,,pendiente,
ACL,available data,,pendiente,
ACL,available evidence,,pendiente,
ACL,available information,,pendiente,
ACL,available resources,,pendiente,
ACL,average score,,pendiente,
ACL,background knowledge,,pendiente,
ACL,basic assumption,,pendiente,
ACL,basic component,,pendiente,
ACL,basic concept,,pendiente,
ACL,basic element,,pendiente,
ACL,basic function,,pendiente,
ACL,basic information,,pendiente,
ACL,basic premise,,pendiente,
ACL,basic principle,,pendiente,
ACL,basic research,,pendiente,
ACL,basic structure,,pendiente,
ACL,basic technique,,pendiente,
ACL,become apparent,,pendiente,
ACL,become available,,pendiente,
ACL,become aware,,pendiente,
ACL,become blurred,,pendiente,
ACL,become established,,pendiente,
ACL,become evident,,pendiente,
ACL,become independent,,pendiente,
ACL,become obvious,,pendiente,
ACL,become visible,,pendiente,
ACL,become widespread,,pendiente,
ACL,behave differently,,pendiente,
ACL,beneficial effect,,pendiente,
ACL,binary opposition,,pendiente,
ACL,binary system,,pendiente,
ACL,biological evolution,,pendiente,
ACL,biological science,,pendiente,
ACL,biological sex,,pendiente,
ACL,brief account,,pendiente,
ACL,brief description,,pendiente,
ACL,brief discussion,,pendiente,
ACL,brief history,,pendiente,
ACL,brief introduction,,pendiente,
ACL,brief overview,,pendiente,
ACL,brief period,,pendiente,
ACL,brief review,,pendiente,
ACL,brief summary,,pendiente,
ACL,brief time,,pendiente,
ACL,briefly describe,,pendiente,
ACL,briefly discuss,,pendiente,
ACL,broad agreement,,pendiente,
ACL,broad category,,pendiente,
ACL,broad definition,,pendiente,
ACL,broad spectrum,,pendiente,
ACL,broader context,,pendiente,
ACL,broadly similar,,pendiente,
ACL,business sector,,pendiente,
ACL,business transaction,,pendiente,
ACL,capitalist country,,pendiente,
ACL,capitalist economy,,pendiente,
ACL,capitalist society,,pendiente,
ACL,capitalist system,,pendiente,
ACL,capitalist world,,pendiente,
ACL,career development,,pendiente,
ACL,career opportunity,,pendiente,
ACL,careful analysis,,pendiente,
ACL,careful attention,,pendiente,
ACL,careful consideration,,pendiente,
ACL,careful thought,,pendiente,
ACL,carry information,,pendiente,
ACL,carry out,,hecho,1
ACL,causal link,,pendiente,
ACL,causal relation,,pendiente,
ACL,causal relationship,,pendiente,
ACL,cause consequences,,pendiente,
ACL,cause stress,,pendiente,
ACL,central authority,,pendiente,
ACL,central concept,,pendiente,
ACL,central concern,,pendiente,
ACL,central control,,pendiente,
ACL,central core,,pendiente,
ACL,central feature,,pendiente,
ACL,central focus,,pendiente,
ACL,central government,,pendiente,
ACL,central importance,,pendiente,
ACL,central issue,,pendiente,
ACL,central part,,pendiente,
ACL,central point,,pendiente,
ACL,central position,,pendiente,
ACL,central problem,,pendiente,
ACL,central question,,pendiente,
ACL,central role,,pendiente,
ACL,central tenet,,pendiente,
ACL,central theme,,pendiente,
ACL,certain aspect,,pendiente,
ACL,certain assumptions,,pendiente,
ACL,certain characteristics,,pendiente,
ACL,certain circumstances,,pendiente,
ACL,change constantly,,pendiente,
ACL,change dramatically,,pendiente,
ACL,change rapidly,,pendiente,
ACL,changing attitudes,,pendiente,
ACL,changing circumstances,,pendiente,
ACL,changing nature,,pendiente,
ACL,changing needs,,pendiente,
ACL,changing pattern,,pendiente,
ACL,changing world,,pendiente,
ACL,characteristic feature,,pendiente,
ACL,chemical reaction,,pendiente,
ACL,civil case,,pendiente,
ACL,civil society,,pendiente,
ACL,class consciousness,,pendiente,
ACL,classic example,,pendiente,
ACL,classic study,,pendiente,
ACL,classic text,,pendiente,
ACL,classic work,,pendiente,
ACL,classical theory,,pendiente,
ACL,clear boundary,,pendiente,
ACL,clear distinction,,pendiente,
ACL,clear evidence,,pendiente,
ACL,clear focus,,pendiente,
ACL,clear indication,,pendiente,
ACL,clear relationship,,pendiente,
ACL,clear statement,,pendiente,
ACL,clear structure,,pendiente,
ACL,clearly evident,,pendiente,
ACL,clearly important,,pendiente,
ACL,clearly understand,,pendiente,
ACL,clearly visible,,pendiente,
ACL,climate change,,pendiente,
ACL,climatic conditions,,pendiente,
ACL,close contact,,pendiente,
ACL,close proximity,,pendiente,
ACL,close relationship,,pendiente,
ACL,close scrutiny,,pendiente,
ACL,closely resemble,,pendiente,
ACL,closer look,,pendiente,
ACL,cognitive ability,,pendiente,
ACL,cognitive development,,pendiente,
ACL,cognitive skills,,pendiente,
ACL,collaborative learning,,pendiente,
ACL,collect data,,pendiente,
ACL,collect information,,pendiente,
ACL,collective action,,pendiente,
ACL,collective identity,,pendiente,
ACL,collective memory,,pendiente,
ACL,combined effect,,pendiente,
ACL,come into,,pendiente,
ACL,commercial activity,,pendiente,
ACL,commercial transaction,,pendiente,
ACL,common ancestor,,pendiente,
ACL,common approach,,pendiente,
ACL,common assumption,,pendiente,
ACL,common characteristic,,pendiente,
ACL,common culture,,pendiente,
ACL,common error,,pendiente,
ACL,common feature,,pendiente,
ACL,common goal,,pendiente,
ACL,common method,,pendiente,
ACL,common source,,pendiente,
ACL,common theme,,pendiente,
ACL,common usage,,pendiente,
ACL,communicate effectively,,pendiente,
ACL,comparative analysis,,pendiente,
ACL,comparative research,,pendiente,
ACL,comparative study,,pendiente,
ACL,compelling argument,,pendiente,
ACL,compelling evidence,,pendiente,
ACL,compelling reason,,pendiente,
ACL,competitive market,,pendiente,
ACL,competitive pressure,,pendiente,
ACL,complex area,,pendiente,
ACL,complex interaction,,pendiente,
ACL,complex issue,,pendiente,
ACL,complex pattern,,pendiente,
ACL,complex problem,,pendiente,
ACL,complex process,,pendiente,
ACL,complex question,,pendiente,
ACL,complex relationship,,pendiente,
ACL,complex set,,pendiente,
ACL,complex situation,,pendiente,
ACL,complex structure,,pendiente,
ACL,complex system,,pendiente,
ACL,comprehensive account,,pendiente,
ACL,comprehensive approach,,pendiente,
ACL,comprehensive overview,,pendiente,
ACL,comprehensive review,,pendiente,
ACL,comprehensive system,,pendiente,
ACL,conceptual framework,,pendiente,
ACL,concerted effort,,pendiente,
ACL,concluding remarks,,pendiente,
ACL,concluding section,,pendiente,
ACL,conditional probability,,pendiente,
ACL,conduct research,,pendiente,
ACL,conflict resolution,,pendiente,
ACL,conflicting interests,,pendiente,
ACL,consider appropriate,,pendiente,
ACL,consider relevant,,pendiente,
ACL,considerable attention,,pendiente,
ACL,considerable debate,,pendiente,
ACL,considerable detail,,pendiente,
ACL,considerable effort,,pendiente,
ACL,considerable evidence,,pendiente,
ACL,considerable influence,,pendiente,
ACL,considerable interest,,pendiente,
ACL,considerable research,,pendiente,
ACL,considerable support,,pendiente,
ACL,considerable variation,,pendiente,
ACL,consistent pattern,,pendiente,
ACL,consistent results,,pendiente,
ACL,constant rate,,pendiente,
ACL,constituent elements,,pendiente,
ACL,constituent parts,,pendiente,
ACL,contain information,,pendiente,
ACL,contemporary debate,,pendiente,
ACL,contemporary issue,,pendiente,
ACL,contemporary life,,pendiente,
ACL,contemporary society,,pendiente,
ACL,contemporary world,,pendiente,
ACL,contextual factors,,pendiente,
ACL,continued existence,,pendiente,
ACL,continued growth,,pendiente,
ACL,continued use,,pendiente,
ACL,continuous process,,pendiente,
ACL,contribute significantly,,pendiente,
ACL,controversial issue,,pendiente,
ACL,conventional view,,pendiente,
ACL,conventional wisdom,,pendiente,
ACL,convey information,,pendiente,
ACL,convey meaning,,pendiente,
ACL,convincing evidence,,pendiente,
ACL,coping strategy,,pendiente,
ACL,core area,,pendiente,
ACL,core element,,pendiente,
ACL,core issue,,pendiente,
ACL,core skills,,pendiente,
ACL,core value,,pendiente,
ACL,correct interpretation,,pendiente,
ACL,counter argument,,pendiente,
ACL,create conditions,,pendiente,
ACL,create opportunities,,pendiente,
ACL,create problems,,pendiente,
ACL,creative process,,pendiente,
ACL,creative thinking,,pendiente,
ACL,creative work,,pendiente,
ACL,criminal offence,,pendiente,
ACL,critical analysis,,pendiente,
ACL,critical approach,,pendiente,
ACL,critical attention,,pendiente,
ACL,critical essay,,pendiente,
ACL,critical evaluation,,pendiente,
ACL,critical examination,,pendiente,
ACL,critical factor,,pendiente,
ACL,critical importance,,pendiente,
ACL,critical inquiry,,pendiente,
ACL,critical introduction,,pendiente,
ACL,critical issue,,pendiente,
ACL,critical perspective,,pendiente,
ACL,critical point,,pendiente,
ACL,critical reflection,,pendiente,
ACL,critical review,,pendiente,
ACL,critical role,,pendiente,
ACL,critical scrutiny,,pendiente,
ACL,critical theory,,pendiente,
ACL,critical thinking,,pendiente,
ACL,critical writing,,pendiente,
ACL,critically evaluate,,pendiente,
ACL,crucial difference,,pendiente,
ACL,crucial factor,,pendiente,
ACL,crucial importance,,pendiente,
ACL,crucial part,,pendiente,
ACL,crucial point,,pendiente,
ACL,crucial question,,pendiente,
ACL,crucial role,,pendiente,
ACL,cultural activity,,pendiente,
ACL,cultural aspect,,pendiente,
ACL,cultural attitudes,,pendiente,
ACL,cultural background,,pendiente,
ACL,cultural boundary,,pendiente,
ACL,cultural change,,pendiente,
ACL,cultural context,,pendiente,
ACL,cultural differences,,pendiente,
ACL,cultural dimension,,pendiente,
ACL,cultural diversity,,pendiente,
ACL,cultural factors,,pendiente,
ACL,cultural heritage,,pendiente,
ACL,cultural history,,pendiente,
ACL,cultural identity,,pendiente,
ACL,cultural influence,,pendiente,
ACL,cultural institution,,pendiente,
ACL,cultural issue,,pendiente,
ACL,cultural life,,pendiente,
ACL,cultural norm,,pendiente,
ACL,cultural perspective,,pendiente,
ACL,cultural phenomenon,,pendiente,
ACL,cultural practice,,pendiente,
ACL,cultural significance,,pendiente,
ACL,cultural theory,,pendiente,
ACL,cultural tradition,,pendiente,
ACL,cultural values,,pendiente,
ACL,culturally specific,,pendiente,
ACL,current climate,,pendiente,
ACL,current issue,,pendiente,
ACL,current policy,,pendiente,
ACL,current research,,pendiente,
ACL,current status,,pendiente,
ACL,current technology,,pendiente,
ACL,current trend,,pendiente,
ACL,currently available,,pendiente,
ACL,daily living,,pendiente,
ACL,data gathering,,pendiente,
ACL,data set,,pendiente,
ACL,deem appropriate,,pendiente,
ACL,deem necessary,,pendiente,
ACL,defining characteristic,,pendiente,
ACL,defining concept,,pendiente,
ACL,defining feature,,pendiente,
ACL,deliberate attempt,,pendiente,
ACL,democratic institution,,pendiente,
ACL,democratic process,,pendiente,
ACL,democratic society,,pendiente,
ACL,democratic state,,pendiente,
ACL,demographic change,,pendiente,
ACL,demographic characteristics,,pendiente,
ACL,demographic factor,,pendiente,
ACL,demonstrate competence,,pendiente,
ACL,dependent variable,,pendiente,
ACL,descriptive statistics,,pendiente,
ACL,desired outcome,,pendiente,
ACL,detailed analysis,,pendiente,
ACL,detailed examination,,pendiente,
ACL,detailed information,,pendiente,
ACL,detailed study,,pendiente,
ACL,developmental process,,pendiente,
ACL,developmental stage,,pendiente,
ACL,diagnostic test,,pendiente,
ACL,differ considerably,,pendiente,
ACL,differ significantly,,pendiente,
ACL,differ widely,,pendiente,
ACL,digital information,,pendiente,
ACL,digital media,,pendiente,
ACL,digital technology,,pendiente,
ACL,direct access,,pendiente,
ACL,direct communication,,pendiente,
ACL,direct consequences,,pendiente,
ACL,direct contact,,pendiente,
ACL,direct evidence,,pendiente,
ACL,direct impact,,pendiente,
ACL,direct involvement,,pendiente,
ACL,direct link,,pendiente,
ACL,direct observation,,pendiente,
ACL,direct relationship,,pendiente,
ACL,direct role,,pendiente,
ACL,directly affect,,pendiente,
ACL,disclose information,,pendiente,
ACL,disposable income,,pendiente,
ACL,distinct group,,pendiente,
ACL,distinct type,,pendiente,
ACL,distinctive feature,,pendiente,
ACL,distinguishing feature,,pendiente,
ACL,diverse background,,pendiente,
ACL,diverse group,,pendiente,
ACL,dividing line,,pendiente,
ACL,documentary evidence,,pendiente,
ACL,domestic market,,pendiente,
ACL,domestic sphere,,pendiente,
ACL,domestic violence,,pendiente,
ACL,dominant culture,,pendiente,
ACL,dominant discourse,,pendiente,
ACL,dominant form,,pendiente,
ACL,dominant group,,pendiente,
ACL,dominant ideology,,pendiente,
ACL,dominant paradigm,,pendiente,
ACL,dominant position,,pendiente,
ACL,dominant role,,pendiente,
ACL,dramatic change,,pendiente,
ACL,dramatic effect,,pendiente,
ACL,dramatic increase,,pendiente,
ACL,driving force,,pendiente,
ACL,due process,,pendiente,
ACL,dynamic equilibrium,,pendiente,
ACL,dynamic nature,,pendiente,
ACL,dynamic process,,pendiente,
ACL,dynamic system,,pendiente,
ACL,earlier discussion,,pendiente,
ACL,earlier period,,pendiente,
ACL,earlier research,,pendiente,
ACL,earlier stage,,pendiente,
ACL,earlier study,,pendiente,
ACL,earlier times,,pendiente,
ACL,earlier version,,pendiente,
ACL,earlier work,,pendiente,
ACL,early decades,,pendiente,
ACL,early study,,pendiente,
ACL,easily accessible,,pendiente,
ACL,easy access,,pendiente,
ACL,economic activity,,pendiente,
ACL,economic affairs,,pendiente,
ACL,economic analysis,,pendiente,
ACL,economic benefits,,pendiente,
ACL,economic change,,pendiente,
ACL,economic conditions,,pendiente,
ACL,economic consequences,,pendiente,
ACL,economic context,,pendiente,
ACL,economic crisis,,pendiente,
ACL,economic exploitation,,pendiente,
ACL,economic factors,,pendiente,
ACL,economic forces,,pendiente,
ACL,economic goal,,pendiente,
ACL,economic growth,,pendiente,
ACL,economic inequality,,pendiente,
ACL,economic integration,,pendiente,
ACL,economic interests,,pendiente,
ACL,economic policy,,pendiente,
ACL,economic power,,pendiente,
ACL,economic prosperity,,pendiente,
ACL,economic reform,,pendiente,
ACL,economic relations,,pendiente,
ACL,economic relationships,,pendiente,
ACL,economic resources,,pendiente,
ACL,economic sector,,pendiente,
ACL,economic stability,,pendiente,
ACL,economic status,,pendiente,
ACL,economic structure,,pendiente,
ACL,economic success,,pendiente,
ACL,economic system,,pendiente,
ACL,economic theory,,pendiente,
ACL,economic value,,pendiente,
ACL,economic welfare,,pendiente,
ACL,educational institution,,pendiente,
ACL,educational opportunity,,pendiente,
ACL,educational policy,,pendiente,
ACL,educational programme,,pendiente,
ACL,educational provision,,pendiente,
ACL,educational qualification,,pendiente,
ACL,educational research,,pendiente,
ACL,educational setting,,pendiente,
ACL,educational system,,pendiente,
ACL,effective communication,,pendiente,
ACL,effective implementation,,pendiente,
ACL,effective intervention,,pendiente,
ACL,effective management,,pendiente,
ACL,effective method,,pendiente,
ACL,effective participation,,pendiente,
ACL,effective policy,,pendiente,
ACL,effective treatment,,pendiente,
ACL,electronic access,,pendiente,
ACL,electronic communication,,pendiente,
ACL,electronic media,,pendiente,
ACL,electronic resources,,pendiente,
ACL,electronic version,,pendiente,
ACL,emotional impact,,pendiente,
ACL,emotional intelligence,,pendiente,
ACL,emotional reaction,,pendiente,
ACL,emotional response,,pendiente,
ACL,emotional support,,pendiente,
ACL,empirical data,,pendiente,
ACL,empirical evidence,,pendiente,
ACL,empirical investigation,,pendiente,
ACL,empirical research,,pendiente,
ACL,empirical study,,pendiente,
ACL,empirical support,,pendiente,
ACL,empirical work,,pendiente,
ACL,employment opportunities,,pendiente,
ACL,encounter difficulties,,pendiente,
ACL,encounter problems,,pendiente,
ACL,engage in,,pendiente,
ACL,enhance learning,,pendiente,
ACL,enhance performance,,pendiente,
ACL,enormous impact,,pendiente,
ACL,entire period,,pendiente,
ACL,entirely clear,,pendiente,
ACL,entirely different,,pendiente,
ACL,entirely new,,pendiente,
ACL,environmental changes,,pendiente,
ACL,environmental concern,,pendiente,
ACL,environmental consequences,,pendiente,
ACL,environmental damage,,pendiente,
ACL,environmental degradation,,pendiente,
ACL,environmental effects,,pendiente,
ACL,environmental factors,,pendiente,
ACL,environmental impact,,pendiente,
ACL,environmental issues,,pendiente,
ACL,environmental policy,,pendiente,
ACL,environmental pollution,,pendiente,
ACL,environmental protection,,pendiente,
ACL,equal access,,pendiente,
ACL,equal opportunity,,pendiente,
ACL,equal status,,pendiente,
ACL,equal treatment,,pendiente,
ACL,equally important,,pendiente,
ACL,equally likely,,pendiente,
ACL,equally true,,pendiente,
ACL,equally valid,,pendiente,
ACL,essential component,,pendiente,
ACL,essential element,,pendiente,
ACL,essential feature,,pendiente,
ACL,essential function,,pendiente,
ACL,essential information,,pendiente,
ACL,essential role,,pendiente,
ACL,established order,,pendiente,
ACL,established practice,,pendiente,
ACL,established principle,,pendiente,
ACL,ethical consideration,,pendiente,
ACL,ethical dilemma,,pendiente,
ACL,ethical issue,,pendiente,
ACL,ethical principle,,pendiente,
ACL,ethical problem,,pendiente,
ACL,ethical question,,pendiente,
ACL,ethnic community,,pendiente,
ACL,ethnic differences,,pendiente,
ACL,ethnic diversity,,pendiente,
ACL,ethnic group,,pendiente,
ACL,ethnic identity,,pendiente,
ACL,ethnic minority,,pendiente,
ACL,ethnic origin,,pendiente,
ACL,ever changing,,pendiente,
ACL,ever increasing,,pendiente,
ACL,evolutionary process,,pendiente,
ACL,evolutionary theory,,pendiente,
ACL,exceptional case,,pendiente,
ACL,exceptional circumstances,,pendiente,
ACL,exercise authority,,pendiente,
ACL,existing data,,pendiente,
ACL,existing research,,pendiente,
ACL,existing structure,,pendiente,
ACL,expand rapidly,,pendiente,
ACL,experience difficulties,,pendiente,
ACL,experience problems,,pendiente,
ACL,experiential learning,,pendiente,
ACL,experimental conditions,,pendiente,
ACL,experimental data,,pendiente,
ACL,experimental design,,pendiente,
ACL,experimental evidence,,pendiente,
ACL,experimental method,,pendiente,
ACL,experimental research,,pendiente,
ACL,experimental results,,pendiente,
ACL,experimental study,,pendiente,
ACL,experimental work,,pendiente,
ACL,expert opinion,,pendiente,
ACL,explanatory power,,pendiente,
ACL,explore further,,pendiente,
ACL,extended period,,pendiente,
ACL,extensive research,,pendiente,
ACL,external environment,,pendiente,
ACL,external factors,,pendiente,
ACL,external forces,,pendiente,
ACL,external influences,,pendiente,
ACL,external source,,pendiente,
ACL,external threat,,pendiente,
ACL,external world,,pendiente,
ACL,extract data,,pendiente,
ACL,extract information,,pendiente,
ACL,extremely complex,,pendiente,
ACL,extremely powerful,,pendiente,
ACL,extremely sensitive,,pendiente,
ACL,extremely useful,,pendiente,
ACL,extremely valuable,,pendiente,
ACL,face difficulties,,pendiente,
ACL,face discrimination,,pendiente,
ACL,facial expression,,pendiente,
ACL,factual information,,pendiente,
ACL,fair treatment,,pendiente,
ACL,fairly clear,,pendiente,
ACL,fairly common,,pendiente,
ACL,fairly obvious,,pendiente,
ACL,fairly straightforward,,pendiente,
ACL,fall into,,pendiente,
ACL,federal agency,,pendiente,
ACL,federal government,,pendiente,
ACL,federal state,,pendiente,
ACL,feminist movement,,pendiente,
ACL,field research,,pendiente,
ACL,final analysis,,pendiente,
ACL,final answer,,pendiente,
ACL,final chapter,,pendiente,
ACL,final decision,,pendiente,
ACL,final outcome,,pendiente,
ACL,final phase,,pendiente,
ACL,final point,,pendiente,
ACL,final position,,pendiente,
ACL,final product,,pendiente,
ACL,final result,,pendiente,
ACL,final section,,pendiente,
ACL,final stage,,pendiente,
ACL,final step,,pendiente,
ACL,final version,,pendiente,
ACL,financial affairs,,pendiente,
ACL,financial assistance,,pendiente,
ACL,financial institution,,pendiente,
ACL,financial management,,pendiente,
ACL,financial market,,pendiente,
ACL,financial problem,,pendiente,
ACL,financial resources,,pendiente,
ACL,financial support,,pendiente,
ACL,find evidence,,pendiente,
ACL,find information,,pendiente,
ACL,finite number,,pendiente,
ACL,first author,,pendiente,
ACL,first contact,,pendiente,
ACL,first draft,,pendiente,
ACL,first encounter,,pendiente,
ACL,first generation,,pendiente,
ACL,first impression,,pendiente,
ACL,first phase,,pendiente,
ACL,first priority,,pendiente,
ACL,flexible approach,,pendiente,
ACL,focal point,,pendiente,
ACL,follow instructions,,pendiente,
ACL,following chapter,,pendiente,
ACL,foreign currency,,pendiente,
ACL,foreign investment,,pendiente,
ACL,foreign investor,,pendiente,
ACL,foreign policy,,pendiente,
ACL,formal structure,,pendiente,
ACL,free access,,pendiente,
ACL,free movement,,pendiente,
ACL,freely available,,pendiente,
ACL,full analysis,,pendiente,
ACL,full employment,,pendiente,
ACL,full information,,pendiente,
ACL,full participation,,pendiente,
ACL,full potential,,pendiente,
ACL,fuller discussion,,pendiente,
ACL,fully aware,,pendiente,
ACL,fully understand,,pendiente,
ACL,functional requirement,,pendiente,
ACL,fundamental aspect,,pendiente,
ACL,fundamental assumption,,pendiente,
ACL,fundamental change,,pendiente,
ACL,fundamental component,,pendiente,
ACL,fundamental difference,,pendiente,
ACL,fundamental importance,,pendiente,
ACL,fundamental principle,,pendiente,
ACL,fundamental problem,,pendiente,
ACL,fundamental question,,pendiente,
ACL,fundamentally different,,pendiente,
ACL,further analysis,,pendiente,
ACL,further consideration,,pendiente,
ACL,further development,,pendiente,
ACL,further evidence,,pendiente,
ACL,further explanation,,pendiente,
ACL,further information,,pendiente,
ACL,further investigation,,pendiente,
ACL,further research,,pendiente,
ACL,further study,,pendiente,
ACL,future development,,pendiente,
ACL,future prospects,,pendiente,
ACL,future research,,pendiente,
ACL,future study,,pendiente,
ACL,gain information,,pendiente,
ACL,gather data,,pendiente,
ACL,gather information,,pendiente,
ACL,gender equality,,pendiente,
ACL,gender stereotype,,pendiente,
ACL,general agreement,,pendiente,
ACL,general approach,,pendiente,
ACL,general argument,,pendiente,
ACL,general aspect,,pendiente,
ACL,general category,,pendiente,
ACL,general conclusion,,pendiente,
ACL,general consensus,,pendiente,
ACL,general definition,,pendiente,
ACL,general feature,,pendiente,
ACL,general formula,,pendiente,
ACL,general overview,,pendiente,
ACL,general principle,,pendiente,
ACL,general statement,,pendiente,
ACL,general tendency,,pendiente,
ACL,general theory,,pendiente,
ACL,general trend,,pendiente,
ACL,generally agree,,pendiente,
ACL,genetic variation,,pendiente,
ACL,give consent,,pendiente,
ACL,give consideration,,pendiente,
ACL,give emphasis,,pendiente,
ACL,give evidence,,pendiente,
ACL,give feedback,,pendiente,
ACL,give guidance,,pendiente,
ACL,give information,,pendiente,
ACL,given information,,pendiente,
ACL,given period,,pendiente,
ACL,global capitalism,,pendiente,
ACL,global context,,pendiente,
ACL,global culture,,pendiente,
ACL,global economy,,pendiente,
ACL,global issue,,pendiente,
ACL,global market,,pendiente,
ACL,global marketplace,,pendiente,
ACL,global media,,pendiente,
ACL,global network,,pendiente,
ACL,global perspective,,pendiente,
ACL,global shift,,pendiente,
ACL,global structure,,pendiente,
ACL,global trade,,pendiente,
ACL,global village,,pendiente,
ACL,government control,,pendiente,
ACL,government department,,pendiente,
ACL,government expenditure,,pendiente,
ACL,government intervention,,pendiente,
ACL,government policy,,pendiente,
ACL,graphical representation,,pendiente,
ACL,great accuracy,,pendiente,
ACL,great diversity,,pendiente,
ACL,great impact,,pendiente,
ACL,great majority,,pendiente,
ACL,great potential,,pendiente,
ACL,great significance,,pendiente,
ACL,greater autonomy,,pendiente,
ACL,greater awareness,,pendiente,
ACL,greater emphasis,,pendiente,
ACL,greater equality,,pendiente,
ACL,greater flexibility,,pendiente,
ACL,greater likelihood,,pendiente,
ACL,greatly enhance,,pendiente,
ACL,greatly increase,,pendiente,
ACL,grow rapidly,,pendiente,
ACL,growing awareness,,pendiente,
ACL,growing trend,,pendiente,
ACL,guiding principle,,pendiente,
ACL,hardly surprising,,pendiente,
ACL,have consequences,,pendiente,
ACL,have limitations,,pendiente,
ACL,have potential,,pendiente,
ACL,heated debate,,pendiente,
ACL,hierarchical structure,,pendiente,
ACL,high concentration,,pendiente,
ACL,high correlation,,pendiente,
ACL,high expectations,,pendiente,
ACL,high frequency,,pendiente,
ACL,high incidence,,pendiente,
ACL,high intensity,,pendiente,
ACL,high level,,pendiente,
ACL,high order,,pendiente,
ACL,high percentage,,pendiente,
ACL,high priority,,pendiente,
ACL,high probability,,pendiente,
ACL,high profile,,pendiente,
ACL,high quality,,pendiente,
ACL,high rate,,pendiente,
ACL,high score,,pendiente,
ACL,high standard,,pendiente,
ACL,high status,,pendiente,
ACL,high turnover,,pendiente,
ACL,high unemployment,,pendiente,
ACL,high value,,pendiente,
ACL,higher education,,pendiente,
ACL,highly competitive,,pendiente,
ACL,highly complex,,pendiente,
ACL,highly controversial,,pendiente,
ACL,highly critical,,pendiente,
ACL,highly dependent,,pendiente,
ACL,highly desirable,,pendiente,
ACL,highly effective,,pendiente,
ACL,highly efficient,,pendiente,
ACL,highly influential,,pendiente,
ACL,highly likely,,pendiente,
ACL,highly problematic,,pendiente,
ACL,highly relevant,,pendiente,
ACL,highly selective,,pendiente,
ACL,highly sensitive,,pendiente,
ACL,highly significant,,pendiente,
ACL,highly skilled,,pendiente,
ACL,highly sophisticated,,pendiente,
ACL,highly successful,,pendiente,
ACL,highly unlikely,,pendiente,
ACL,highly variable,,pendiente,
ACL,historical account,,pendiente,
ACL,historical analysis,,pendiente,
ACL,historical background,,pendiente,
ACL,historical change,,pendiente,
ACL,historical circumstances,,pendiente,
ACL,historical context,,pendiente,
ACL,historical data,,pendiente,
ACL,historical development,,pendiente,
ACL,historical event,,pendiente,
