# CEFR-J / English Profile (dataset Maximax67, derivado de CEFR-J + frecuencia).
# Solo palabra+nivel (dato factual). Tapa huecos de banda y extiende escala.
# Oxford 5000 tiene precedencia en el rastreador; esto rellena lo que Oxford no trae.
word,cefr
belongings,b2
beloved,b1
below,a1
belt,a2
bench,a2
bend,a2
beneath,b1
beneficial,b2
benefit,b1
benevolence,b2
benevolent,b2
bent,b1
berry,b2
beside,a1
besides,a2
best,a1
bestow,b2
bestseller,b2
bet,b1
betray,b2
better,a1
between,a1
bewilder,b2
bewilderment,b2
beyond,a2
bicycle,a1
bid,b2
bidding,b2
big,a1
bike,a1
bikini,b2
bilingual,b1
bill,a2
billion,b2
bin,b1
bind,b2
bio,b2
biochemistry,b1
biography,b1
biological,b2
biology,b1
biotechnology,b2
bird,a1
birdcage,b2
birth,a1
birthday,a1
birthplace,b2
biscuit,a1
bishop,b1
bit,a2
bite,a2
bitter,b1
bitterly,b2
bizarre,b2
black,a1
blackboard,a2
blade,b2
blame,a2
blank,a1
blanket,a2
blast,b2
blaze,b2
bleed,b1
blend,b1
bless,b1
blessing,b1
blind,b1
blindly,b2
blindness,b2
blink,b2
block,a1
blog,b1
blogger,b1
blonde,a2
blood,a2
bloodstream,b2
bloody,b2
bloom,a2
blooming,b2
blossom,b2
blow,a1
blue,a1
blur,b2
blurt,b2
blush,b1
board,a1
boast,b1
boat,a1
body,a1
boil,a2
boiled,a2
boiling,b2
bold,b1
boldly,b1
bolt,b2
bomb,b1
bombard,b2
bomber,b2
bombing,b2
bond,b1
bone,a1
bonus,a2
bony,b2
book,a1
bookcase,a2
booking,b1
bookish,b2
booklet,b2
bookmark,b2
bookshelf,a2
bookshop,a2
bookstore,a1
boom,b1
boost,b2
boot,b1
booth,b2
border,b1
bore,b1
bored,a2
boredom,b1
boring,a1
borrow,a1
boss,a2
bossy,b2
botany,b2
both,a1
bother,a2
bothered,b2
bothersome,b2
bottle,a1
bottom,a1
bounce,b1
bound,b1
bourbon,b2
bow,b1
bowl,a1
box,a1
boxer,b2
boxing,b1
boy,a1
boyfriend,a1
bra,a2
bracelet,b1
bracket,b2
brag,b2
brain,a1
brainstorm,a2
brainstorming,b1
brake,a2
branch,a2
brand,a2
brand-new,b1
brass,b1
brave,a2
bravely,b1
bravery,b2
bread,a1
break,a1
breakable,b2
breakdown,b2
breakfast,a1
breakthrough,b1
breakup,b2
breast,b1
breath,b1
breathe,a1
breathless,b1
breathtaking,b2
breed,b1
breeding,b1
breeze,a2
breezy,b2
brewery,b2
brick,b1
bride,a2
bridge,a1
brief,b1
briefly,b1
bright,a1
brightly,b1
brilliant,a2
brilliantly,b2
bring,a1
broad,b1
broadband,b2
broadcast,b1
broadcaster,b2
broaden,b2
broadly,b2
broccoli,b1
brochure,b2
broken,a1
bronze,b1
brother,a1
brother-in-law,b2
brotherhood,b1
brown,a1
browse,b2
browser,b2
bruise,b2
brush,a1
bubble,b1
bucket,a1
bud,b2
buddy,b1
budget,a2
bug,a2
build,a1
builder,b1
building,a1
bulb,a2
bulimia,b2
bull,b1
bullet,b1
bulletin,b1
bully,b2
bum,b2
bump,b1
bumper,b2
bun,b2
bunch,b1
burden,b1
burdensome,b2
bureau,b1
bureaucracy,b2
burger,a1
burglar,b1
burglary,b2
burgle,b2
burial,b2
burn,a2
burning,b1
burst,b1
bury,a2
bus,a1
bush,a2
business,a1
businessman,a2
businesswoman,a2
bust,b1
bustle,b2
bustling,b2
busy,a1
but,a1
butcher,b1
butter,a1
butterfly,a1
button,a1
buy,a1
buyer,b1
buzz,b2
by,a1
bye,a1
cab,a2
cabbage,b1
cabin,b1
cabinet,b2
cable,b2
cafe,a1
cafeteria,a2
cage,b1
cake,a1
calculate,b1
calculation,b1
calculator,b1
calendar,a2
calf,b1
call,a1
caller,b1
calm,b1
calmly,b2
calmness,b1
camel,b1
camera,a1
camp,a1
campaign,b2
camping,a2
campsite,b1
campus,a2
can,a1
canal,b1
cancel,b1
cancer,b1
candidate,b2
candle,b1
candy,a1
cane,b2
canned,b1
cannonball,b2
canon,b2
canteen,b1
cap,a1
capability,b2
capable,b1
capacity,b1
capital,a2
capsule,b1
captain,a2
caption,b2
captive,b2
capture,b1
car,a1
caravan,b2
carbon,b2
card,a1
cardboard,b2
cardigan,b2
care,a1
career,b1
carefree,b2
careful,a1
carefully,a1
careless,b1
carelessly,b1
carelessness,b1
caring,b2
carnival,b2
carpet,b1
carpool,b2
carriage,b1
carrot,a2
carry,a1
carton,b1
cartoon,a1
carve,b2
cascade,b2
case,a1
cash,a2
cashpoint,b1
cassette,a2
cast,b2
castle,a2
casual,b1
casually,b2
cat,a1
catalog,b2
catalogue,b2
catalyst,b2
catastrophe,b2
catastrophic,b2
catch,a1
catchy,b2
categorisation,b2
categorise,b1
categorization,b2
categorize,b1
category,b1
catering,b2
cathedral,b2
cattle,b1
cause,a2
caution,b1
cautious,b1
cave,b1
cd,a1
cd-rom,b1
cease,b2
ceiling,b2
celebrate,a1
celebration,a1
celebrity,b1
cell,b1
cellar,b2
cellist,b2
cello,b2
cemetery,b2
cent,a2
center,a2
centigrade,b2
centimeter,a2
centimetre,a2
central,b1
centre,a2
century,a2
cereal,a2
ceremony,b1
certain,a2
certainly,a2
certainty,b1
certificate,b2
certification,b2
certify,b2
chain,a2
chair,a1
chairman,a2
challenge,a2
challenging,b1
champagne,a2
champion,b1
championship,a2
chance,a2
chancellor,b2
change,a1
channel,b1
chaos,b1
chaotic,b2
chapter,a2
character,a1
characterise,b1
characteristic,b1
characterize,b1
charge,b1
chariot,b1
charity,b1
charm,b1
charming,b2
chart,a2
chase,b1
chat,a2
cheap,a2
cheat,b2
check,a1
check-in,b1
checkout,b1
checkpoint,b2
cheek,a2
cheeky,b2
cheer,a2
cheerful,b1
cheerfully,b2
cheerfulness,b2
cheese,a1
chef,a2
chemical,a2
chemist,b1
chemistry,b1
chemotherapy,b2
cheque,a2
cherish,b1
cherished,b2
cherry,b2
chess,a2
chest,a2
chew,b2
chicken,a1
chief,b1
child,a1
childhood,a2
childish,b2
chili,a2
chilli,a2
chimney,b2
chimpanzee,a2
chin,a2
chip,b2
chirp,a2
chocolate,a1
choice,a2
choir,b1
choke,b1
choose,a1
chop,b2
christian,b1
chronological,b1
chuckle,b1
chunk,b2
church,a1
cigarette,a2
cinema,a1
circle,a1
circuit,b2
circuitry,b2
circular,b1
circumstance,b2
circus,b1
citizen,a2
citizenship,b1
city,a1
citywide,b2
civil,b1
civilisation,b1
civilization,b1
claim,a2
clam,b2
clap,b2
clarify,b2
class,a1
classic,a2
classical,b1
classification,b2
classify,b1
classmate,a1
classroom,a1
clause,b2
clean,a1
cleaner,a2
clear,a2
clearly,a2
clearness,b2
clerical,b2
clerk,a2
clever,a1
click,a2
client,b2
cliff,b1
climate,b1
climb,a1
climber,b1
climbing,a2
clinic,b1
clip,b1
clock,a1
clog,b2
clone,a2
close,a1
closed,a1
closely,b1
closure,b2
cloth,a1
clothes,a1
clothing,b2
cloud,a1
cloudy,a1
clown,a2
club,a1
clue,a2
clumsy,b2
coach,a1
coaching,b2
coal,b1
coalition,b2
coarse,b2
coast,a2
coastal,b1
coastline,b2
coat,a1
cocktail,b2
cocoa,b2
coconut,b2
cod,b1
code,a1
coffee,a1
coffin,b1
coherence,b2
coherent,b2
coin,a2
coincide,b2
coincidence,b2
coke,a1
cola,a2
cold,a1
collapse,b1
collar,b1
colleague,b2
collect,a1
collection,a1
collector,b2
college,a1
collocation,b2
colon,b2
colonial,b2
color,a1
colorful,a2
colour,a1
colourful,a2
column,a2
columnist,b1
coma,b2
comb,a2
combination,b1
combine,b1
come,a1
comedian,b1
comedy,b1
comet,b1
comfort,b1
comfortable,a2
comfortably,b2
comic,a2
comma,b1
command,b1
commander,b2
commemorate,b2
comment,b1
commerce,b2
commercial,b1
commission,b2
commit,b1
commitment,a2
committee,a2
common,a2
commonly,b1
commonwealth,b2
communicate,a2
communication,a2
communicative,b2
community,b2
commute,b2
companion,b1
company,a2
comparative,a2
compare,a2
comparison,b1
compassion,b2
compassionate,b2
compatible,b2
compensate,b2
compensation,b2
compete,b1
competence,b2
competent,b2
competition,a2
competitive,b1
competitor,b1
compile,b2
complain,a2
complaint,a2
complement,b1
complete,a2
completely,b1
completion,b2
complex,b1
complexion,b2
complexity,b2
complicate,b1
complicated,b1
compliment,b1
component,b2
compose,b1
composer,a2
composition,b1
compound,b1
comprehension,b2
comprehensive,b2
compress,b2
compression,b2
compromise,b1
compulsory,b2
compute,b2
computer,a1
conceal,b2
concede,b2
conceit,b2
conceivable,b2
conceive,b2
concentrate,a2
concentration,b1
concept,b1
conception,b2
concern,a2
concerned,b1
concerning,b2
concert,a1
concession,b2
conclude,b1
conclusion,b1
concrete,b2
condemn,b2
condition,a2
conduct,b1
conductor,b2
cone,b2
conference,b2
conferencing,b2
confess,b2
confession,b2
confidence,b1
confident,a2
confidently,b2
confine,b2
confirm,b1
confirmation,b1
conflict,b1
confront,b2
confuse,a2
confused,a2
confusing,b1
confusion,b1
congratulate,b1
conjunction,b2
connect,b1
connection,b1
connexion,b1
conquer,b1
conquest,b2
conscience,b2
conscious,b1
consciousness,b2
consensus,b2
consent,b2
consequence,a2
consequently,b1
conservation,b1
conservative,b1
consider,a2
considerable,b1
considerably,b2
consideration,b1
considering,b2
consist,a2
consistent,b2
consolation,b2
console,b2
consonant,b1
constant,b2
constantly,b1
constitute,b1
constitution,b1
construct,b1
construction,b1
consult,b2
consultant,b2
consume,b1
consumer,b1
consumption,b1
contact,a2
contain,b1
container,a2
contaminate,b2
contemporary,b2
contempt,b2
content,b1
contest,a1
context,a2
continent,a2
continual,b1
continually,b1
continue,a2
continuous,b1
continuously,b1
contract,b2
contradict,b2
contradiction,b2
contradictory,b2
contrary,b1
contrast,a2
contribute,b1
contribution,b1
control,a2
controversial,b1
controversy,b2
convenience,a2
convenient,a2
conveniently,b2
convention,b2
conventional,b2
conversation,a1
converse,b2
conversely,b2
conversion,b2
convert,b2
convey,b1
convince,b1
convinced,b2
cook,a1
cooker,a2
cookie,a1
cooking,a2
cool,a1
cooler,a2
cooperate,b2
cooperation,b2
cooperative,b2
cop,a1
cope,b2
copper,b2
copy,a1
copyright,b1
coral,b2
core,b2
corn,a1
corner,a1
cornerstone,b2
cornet,b2
corona,b2
corporal,b2
corporate,b2
corporation,b2
correct,a1
correction,b1
correctly,a2
correctness,b2
correspond,b2
correspondence,b2
correspondent,b2
corresponding,b2
corridor,b2
corrupt,b2
corruption,b2
cosiness,b2
cost,a2
costly,b2
costume,b2
cosy,b2
cottage,b2
cotton,b1
couch,a1
cough,b1
could,a1
council,b1
counseling,b1
counselling,b1
count,a2
counter,b1
countless,b1
country,a2
countryman,b2
countryside,a2
countrywide,b2
county,b1
couple,a2
courage,b1
courageous,b1
courgette,b1
course,a1
court,a2
courtesy,b2
cousin,a1
cover,a1
cow,a1
coward,b2
cowardly,b2
coziness,b2
cozy,b2
crab,b2
crack,b2
craft,b1
craftsman,b2
crash,b1
crater,b2
crawl,b2
crazy,a2
cream,a1
crease,b2
create,a2
creation,b2
creative,a2
creatively,b2
creativity,a2
creator,b1
creature,a2
credit,a2
creek,b2
creepy,b2
crew,b2
cricket,a2
crime,a2
criminal,b1
cripple,b2
crisis,b1
crisp,a2
critic,b1
critical,b1
critically,b2
criticise,a2
criticism,b2
criticize,a2
crocodile,b2
crop,b1
cross,a2
crossing,b1
crossly,b2
crossroads,b1
crow,b1
crowd,a2
crowded,a2
crown,a2
crucial,b2
cruel,b1
cruelly,b2
cruelty,b2
cruise,a2
crush,b1
cry,a1
crystallise,b2
crystallize,b2
cube,b2
cubism,b2
cucumber,b1
cuff,b2
culmination,b2
cultivate,b1
cultural,b1
culturally,b2
culture,a1
cup,a1
cupboard,a2
cure,b1
curiosity,b1
curious,b1
curiously,b1
curl,b2
curly,b1
currency,b1
current,b1
currently,b1
curriculum,b1
curry,a2
curse,a2
cursor,b2
curtain,b1
curve,b1
cushion,b1
custom,a2
customer,a2
customs,b1
cut,a1
cute,a1
cv,b1
cyberaddict,b2
cybercafe,b2
cybercrime,b2
cyberpet,b2
cyberschool,b2
cyberspace,b2
cycle,b1
cycling,a2
cyclist,b2
dad,a1
daddy,a1
daft,b2
daily,a2
daisy,b1
dam,a2
damage,b1
damaged,b1
damn,b2
damp,b1
dance,a1
dancer,a2
dancing,a1
dandelion,b2
danger,a2
dangerous,a2
dangerously,b1
dare,b1
dark,a1
darkness,b1
darling,b2
dash,b2
data,b2
database,b2
date,a1
dated,b2
dating,b1
daughter,a1
daughter-in-law,b2
dawn,b2
day,a1
daylight,a2
daytime,b2
daze,b1
dazzle,b1
dead,a2
deadline,b1
deadly,b1
deaf,b1
deal,a2
dealer,b1
dear,a1
dearly,b2
death,a2
debate,a2
debit,b2
debris,b1
debt,b1
decade,b2
decay,b2
deceive,b2
december,a1
decent,b2
deceptive,b2
decide,a2
decision,b1
decisive,b2
deck,b2
declaration,b1
declare,b1
decline,b1
decomposition,b2
decorate,b2
decoration,b2
decorative,b2
decrease,b1
dedicate,b1
dedication,b2
deduce,b2
deduction,b2
deed,b1
deem,b2
deep,a2
deeply,a2
deer,b2
defeat,b1
defence,b1
defend,b1
defender,b1
defense,b1
deficiency,b1
deficit,b2
define,b1
definite,b1
definitely,b1
definition,b1
deforestation,b2
defy,b2
degree,a2
dehumanise,b2
dehumanize,b2
delay,a2
delegate,b2
delete,b1
deliberate,b2
deliberately,b2
delicacy,b2
delicate,b1
delicately,b2
delicious,a1
delight,b1
delighted,b1
delightful,b1
deliver,b1
delivery,b1
demand,b1
demanding,b2
democracy,b1
democratic,b1
demolish,b2
demonstrate,b1
demonstration,b1
denim,b2
dense,b2
densely,b2
dental,b2
dentist,a2
deny,b1
depart,b1
department,b1
departure,b1
depend,a2
dependable,b2
dependent,b1
deposit,b1
depressed,b1
depressing,b1
depression,b1
deprive,b1
depth,b1
deputy,b2
derive,b1
descend,b2
describe,a1
description,a2
descriptive,b2
desert,a2
deserve,b1
design,a1
designer,b1
desirable,b2
desire,b1
desk,a1
desktop,b2
desolation,b2
despair,b1
desperate,b1
desperately,b2
desperation,b2
despise,b2
despite,b1
dessert,a2
destination,b1
destiny,b2
destroy,a2
destruction,b1
destructive,b1
detach,b2
detachment,b2
detail,a2
detailed,b2
detect,b2
detective,b1
determination,b1
determine,b1
determined,b2
determiner,b2
devastate,b1
devastating,b1
develop,a2
developed,a2
developing,b2
development,b1
device,b1
devil,b2
devote,b2
devoted,b2
devotion,b1
diagram,b1
dial,b1
dialog,b1
dialogue,b1
diameter,b1
diamond,a2
diaper,b1
diarrhea,b2
diarrhoea,b2
diary,a2
dictator,b2
dictionary,a1
did,a1
die,a2
diet,a2
differ,b1
difference,a1
different,a1
differently,a2
difficult,a1
difficulty,a2
dig,a1
digest,b2
digital,b1
dignify,b2
dignity,b2
dilemma,b2
diligence,b1
diligent,b1
dim,b2
dime,b2
dimension,b2
dinner,a1
dinosaur,a2
dioxide,b1
dip,b2
diphtheria,b2
diploma,b2
diplomat,b2
direct,a2
direction,a2
directly,b1
director,a2
dirt,b1
dirty,a1
disability,b1
disable,b1
disabled,b1
disadvantage,a2
disagree,a2
disagreement,b1
disappear,a2
disappearance,b2
disappoint,b1
disappointed,a2
disappointing,a2
disappointment,b1
disapproval,b2
disapprove,b2
disaster,b1
disastrous,b1
disc,b1
discharge,b2
disciple,b2
discipline,b2
disco,a2
discomfort,b1
disconnect,b2
discount,b1
discourage,b1
discover,a2
discovery,b1
discredit,b2
discriminate,b2
discrimination,b1
discuss,a1
discussion,a2
disease,b1
disgrace,b2
disguise,b2
disgusting,b1
dish,a1
dishonest,a2
dishonesty,b2
dishwasher,b1
disillusion,b2
disk,b1
dislike,a2
dismiss,b2
disorder,b2
disorderly,b2
disorganised,b2
disorganized,b2
dispensable,b2
displace,b2
display,a2
displeasure,b2
disposal,b2
disposition,b2
dispute,b2
disqualify,b2
disregard,b2
disrupt,b2
dissatisfaction,b2
dissatisfied,b2
dissident,b2
dissolve,b1
distance,b1
distant,b1
distinction,b1
distinctly,b1
distinguish,b1
distinguished,b2
distortion,b2
distract,b2
distraction,b2
distressing,b2
distribute,b1
distribution,b1
distributor,b2
district,b1
disturb,a2
disturbance,b1
dive,b1
diver,b1
diverse,b1
diversion,b2
divert,b2
divide,a2
divided,b2
divine,b1
diving,b1
division,b2
divorce,b2
divorced,b1
dizzy,a2
dj,b1
dna,b2
do,a1
doc,b1
dock,b2
doctor,a1
document,b1
documentary,b1
does,a1
dog,a1
doing,a1
doll,a1
dollar,a1
dolphin,b1
domestic,b2
dominate,b2
donate,b2
donation,b2
done,a2
donkey,b2
doom,b2
door,a1
doorkeeper,b2
doorway,b2
dorm,b2
dormitory,b2
dose,b2
dot,b1
double,a2
doubly,b2
doubt,a2
doubtful,b2
dove,b2
down,a1
downfall,b2
download,a2
downsize,b2
downstairs,a2
downtown,a2
downward,b1
dowry,b2
doze,b1
dozen,b1
dr,a1
draft,b2
drag,b1
drain,b2
drama,a1
dramatic,b1
dramatically,b2
drapery,b2
draught,b2
draw,a1
drawer,a2
drawing,a2
dread,b2
dreadful,b2
dream,a1
dreamy,b2
dress,a1
dressed,a2
drill,a2
drink,a1
drinkable,b2
drive,a1
driver,a1
droop,b2
drop,a1
dropout,b2
drought,b2
drown,b1
drug,a2
drugstore,a2
drum,a1
drunk,b1
dry,a1
duck,a2
dude,b1
due,a1
duel,b2
dull,b1
dumb,b2
dump,b1
duplicate,b2
duplication,b2
during,a2
dust,a2
dustbin,b1
dusty,b1
duty,b1
duty-free,b1
duvet,b1
dvd,a1
dwarf,b2
dye,b2
dynamic,b2
dynasty,b1
e-mail,a1
each,a1
eager,b1
eagerly,b2
eagerness,b1
eagle,b2
ear,a1
earache,b1
early,a1
earn,a2
earnest,b1
earnings,b2
earring,a2
earth,a2
earthquake,a2
ease,b2
easily,a2
east,a2
eastern,b1
eastward,b2
eastwards,b2
easy,a1
easy-going,b1
easygoing,b1
eat,a1
eco,b1
ecological,b1
ecologically,b2
ecologist,b2
ecology,b1
economic,b1
economical,b2
economics,b1
economist,b2
economy,b1
ecosystem,b1
ecstasy,b1
ecstatic,b2
edge,b1
edit,b2
edition,b1
editor,a2
editorial,b2
educate,b1
educated,b2
education,a2
educational,a2
educator,b2
effect,a2
effective,b1
effectively,b2
effectiveness,b2
efficiency,b1
efficient,b1
effort,a2
egg,a1
eight,a1
eighteen,a1
eighty,a1
either,a1
elbow,b1
elderly,a2
elect,b2
election,b1
elective,b2
electric,a2
electrical,b1
electrician,b2
electricity,b1
electron,b1
electronic,b1
electronically,b2
electronics,b2
elegance,b2
elegant,b2
elegantly,b2
element,b1
elemental,b2
elementary,a1
elephant,a2
elevator,a2
eleven,a1
eligible,b2
eliminate,b1
elite,b2
eloquence,b2
eloquent,b2
else,a1
elsewhere,a2
email,a1
embarrass,b1
embarrassed,b1
embarrassing,a2
embarrassment,b1
embassy,b2
embrace,b2
emerge,b1
emergence,b2
emergency,a2
emotion,b1
emotional,b1
emotionally,b1
emperor,b1
emphasis,b1
emphasise,b1
emphasize,b1
emphatically,b2
empire,b1
employ,b2
employee,b2
employer,b2
employment,b1
empty,a2
enable,b1
enclose,b1
encounter,b1
encourage,a2
encouragement,b1
encouraging,b1
encyclopaedia,b1
encyclopedia,b1
end,a1
endanger,b1
endangered,a2
endeavor,b2
endeavour,b2
ending,a2
endless,b1
endlessly,b2
endorse,b2
endurance,b2
endure,b1
enduring,b2
enemy,b1
energetic,a2
energy,b2
enforce,b2
engage,b1
engaged,b1
engagement,b2
engine,b1
engineer,a1
engineering,b1
englishman,b1
engulf,b2
enhance,b2
enjoy,a1
enjoyable,b1
enjoyment,b1
enormous,a2
enough,a2
enquire,b2
enquiry,b1
enrich,b1
enrol,b2
enroll,b2
ensure,b1
enter,a2
